session;Raw_Cluster;Macro_Cluster;k_aircraft;k_operator;k_mission
3155008;37;Cluster 1 (Majeur A);52519;3;1
3155030;37;Cluster 1 (Majeur A);46851;81;1
3155031;39;Cluster 2 (Majeur B);46890;81;1
3155110;37;Cluster 1 (Majeur A);41622;81;1
3155178;39;Cluster 2 (Majeur B);41560;81;1
3155179;39;Cluster 2 (Majeur B);41624;81;1
3155184;39;Cluster 2 (Majeur B);41621;83;1
3155216;32;Cluster 5 (Outliers);48090;3;1
3155247;37;Cluster 1 (Majeur A);52524;83;1
3155248;37;Cluster 1 (Majeur A);52522;83;1
3155294;39;Cluster 2 (Majeur B);52521;10;1
3155306;39;Cluster 2 (Majeur B);46896;20;-2
3155318;31;Cluster 3 (Mineur A);50440;83;1
3155371;39;Cluster 2 (Majeur B);52524;83;1
3155456;37;Cluster 1 (Majeur A);41621;83;1
3155458;31;Cluster 3 (Mineur A);50440;83;1
3155464;41;Cluster 4 (Mineur B);46875;112;1
3155601;37;Cluster 1 (Majeur A);41622;81;1
3155729;39;Cluster 2 (Majeur B);41559;81;1
3155731;37;Cluster 1 (Majeur A);41620;83;1
3155732;36;Cluster 5 (Outliers);41620;83;1
3155733;39;Cluster 2 (Majeur B);50440;83;1
3155779;37;Cluster 1 (Majeur A);52524;83;1
3155868;39;Cluster 2 (Majeur B);52255;298;1
3156009;39;Cluster 2 (Majeur B);48260;161;1
3156154;39;Cluster 2 (Majeur B);52255;298;1
3156187;39;Cluster 2 (Majeur B);52254;298;1
3156188;40;Cluster 5 (Outliers);46896;20;-2
3156190;37;Cluster 1 (Majeur A);41622;81;1
3156231;39;Cluster 2 (Majeur B);41624;81;1
