,F_SESSION,k_aircraft,k_operator,k_mission,flight_document,cluster
208,3137763,41622,81,1,189_190_190_190_190 190_190_190_190_191 191_192_192_192_192 192_192_192_192_2 2_5_5_5_5 4_3_3_3_3 3_3_3_3_4 2_5_5_5_5 6_6_6_6_7 1877_1874_1874_1874_1375 1884_1885_1885_1885_1884 2076_2084_2084_2084_2076 7_119_119_119_119 119_119_119_119_2 189_190_190_190_190 190_190_190_190_191 191_192_192_192_192 192_192_192_192_2 2_6_6_6_6 6_6_6_6_7 4092_1370_4092_1370_4092 1370_4092_4092_4092_1370 2799_1893_1893_1893_2799 2477_2794_2794_2794_2477 4092_1370_4092_1370_4092 1370_2794_2794_2794_2477 1370_2794_2794_2794_1370 1370_4092_4092_4092_1370 1370_4092_4092_4092_2477 2341_2910_2910_2910_2341 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 4_3_3_3_3 3_3_3_3_2 2_5_5_5_5 5_5_5_5_2,0
209,3137764,46851,81,1,189_190_190_190_190 190_190_190_190_191 191_192_192_192_192 192_192_192_192_2 2_5_5_5_5 5_5_5_5_2 5_2_5_5_2 4_3_3_3_3 3_3_3_3_4 4_5_5_5_5 6_6_6_6_7 7_115_115_115_12 1509_1510_1510_1510_3258 1332_1528_1528_1528_1332 1332_1527_1527_1527_1332 5474_5479_5479_5479_9627 7_119_119_119_119 119_119_119_119_2 2_6_6_6_6 6_6_6_6_7 6938_8145_8145_8145_234 7_119_119_119_119 119_119_119_119_2 2_6_6_6_6 6_6_6_6_7 732_2800_2800_2800_732 734_732_732_2800_732 1486_291_291_291_291 291_291_291_291_115 291_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 4_3_3_3_4 4_2_2_2_5 2_5_5_5_5 5_5_5_5_2 189_190_190_190_190 190_190_190_190_191,0
210,3137802,46450,3,1,189_190_190_190_190 190_190_190_190_191 191_192_192_192_192 192_192_192_192_2 2_3_3_3_3 3_3_3_3_2 4_3_3_3_3 3_3_3_3_4 4_5_5_4_5 4_5_5_5_5 6_6_6_6_7 7_119_119_119_119 119_119_119_119_2 189_190_190_190_190 190_190_190_190_191 191_192_192_192_192 192_192_192_192_2 2_6_6_6_6 6_6_6_6_7 7532_11503_11503_11503_9362 7_119_119_119_119 119_119_119_119_2 189_190_190_190_190 190_190_190_190_191 191_192_192_192_192 192_192_192_192_2 2_6_6_6_6 6_6_6_6_7 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_7 7_119_119_119_119 119_119_119_119_2 4_5_5_5_4 4_5_5_5_4 4_3_3_3_3 3_3_3_3_2 2_5_5_5_5 5_5_5_5_2 189_190_190_190_190 190_190_190_190_191,0
211,3137803,52519,3,1,189_190_190_190_190 190_190_190_190_191 191_192_192_192_192 192_192_192_192_2 2_5_5_5_5 5_5_5_5_2 4_5_5_5_5 2_6_6_6_6 6_6_6_6_7 7_115_115_115_1292 7_119_119_119_119 119_119_119_119_2 189_190_190_190_190 190_190_190_190_191 191_192_192_192_192 192_192_192_192_2 2_6_6_6_6 6_6_6_6_7 9798_1130_1130_1130_1131 1486_291_291_291_291 291_291_291_291_115 291_115_115_115_115 115_115_115_115_7 2_3_3_3_3 3_3_3_3_2 189_190_190_190_190 190_190_190_190_191 191_192_192_192_192 192_192_192_192_2 2_3_3_3_3 3_3_3_3_2 2_3_3_3_3 3_3_3_3_2 2_5_5_5_5 5_5_5_5_2 189_190_190_190_190 190_190_190_190_191,3
212,3137804,46874,10,1,189_190_190_190_190 190_190_190_190_191 191_192_192_192_192 192_192_192_192_2 4_5_5_5_4 4_5_5_5_5 4_5_5_5_5 5_4_4_4_3 2_3_3_3_3 3_3_3_3_2 115_115_115_115_115 115_115_115_115_7 7_115_115_115_12 119_119_119_119_2 189_190_190_190_190 190_190_190_190_191 191_192_192_192_192 192_192_192_192_2 2_6_6_6_6 6_6_6_6_7 7_119_119_119_119 119_119_119_119_2 4_5_5_5_4 4_3_3_3_3 3_3_3_3_2 4_3_3_3_4 4_3_3_3_3 3_3_3_3_2 189_190_190_190_190 190_190_190_190_191,3
213,3137805,52521,10,1,189_190_190_190_190 190_190_190_190_191 191_192_192_192_192 192_192_192_192_2 4_5_5_5_4 4_5_5_5_5 5_5_5_5_2 4_5_5_5_5 5_4_4_4_3 4_3_3_3_3 3_3_3_3_4 4_3_3_3_3 3_3_3_3_4 4_3_4_4_3 3_4_4_3_4 4_3_3_3_3 3_3_3_3_4 4_3_3_3_3 3_3_3_3_2 2_6_6_6_6 6_6_6_6_7 7_115_115_115_8032 1302_6002_6002_6002_11459 119_119_119_119_2 189_190_190_190_190 190_190_190_190_191 191_192_192_192_192 192_192_192_192_2 2_6_6_6_6 6_6_6_6_7 2794_1893_1893_1893_2794 2794_2477_2477_2477_2799 2327_2326_2326_2326_2339 2299_818_819_819_2298 819_2300_2300_2300_2313 2328_2327_2327_2327_2329 1486_291_291_291_291 291_291_291_291_115 291_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_7 7_119_119_119_119 119_119_119_119_2 4_3_3_3_3 3_3_3_3_4 4_3_3_3_3 3_3_3_3_2 189_190_190_190_190 190_190_190_190_191,3
214,3137848,41624,81,1,189_190_190_190_190 190_190_190_190_191 191_192_192_192_192 192_192_192_192_2 2_5_5_5_5 5_5_5_5_2 2_5_5_5_5 5_5_5_5_2 4_3_3_3_3 3_3_3_3_4 4_5_5_5_5 1096_1097_1097_1097_1096 1096_1097_1097_1097_1096 1097_1124_1124_1207_1124 1124_1207_1207_1207_1096 1096_1097_1097_1097_1096 1097_1096_1096_1096_1097 1097_1208_1208_1208_1096 1097_1124_1207_1207_1124 1124_1207_1207_1124_1207 114_116_116_116_7 7_119_119_119_119 119_119_119_119_2 2_6_6_6_6 6_6_6_6_7 1668_3859_3859_3859_3880 3859_3880_3881_3881_9803 7_119_119_119_119 119_119_119_119_2 2_6_6_6_6 6_6_6_6_7 7_119_119_119_119 119_119_119_119_2 2_6_6_6_6 6_6_6_6_7 2321_2083_2083_2083_2320 7_119_119_119_119 119_119_119_119_2 2_6_6_6_6 6_6_6_6_7 1124_1207_1207_1207_1124 1099_1095_1095_1095_1099 1096_1207_1207_1207_1124 1096_1097_1097_1097_1096 1136_1137_1136_1136_1134 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_7 4_3_3_3_3 3_3_3_3_2 2_3_3_3_3 3_3_3_3_2 189_190_190_190_190 190_190_190_190_191,3
215,3137861,56585,12,3,2_6_6_6_6 6_6_6_6_7 1486_291_291_291_291 291_291_291_291_115 291_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_7 7_119_119_119_119 119_119_119_119_2 2_6_6_6_6 6_6_6_6_7 820_2888_2888_2888_8390 291_291_291_291_115 291_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_7 7_119_119_119_119 119_119_119_119_2 2_6_6_6_6 6_6_6_6_7 7_119_119_119_119 119_119_119_119_2 2_6_6_6_6 6_6_6_6_7 7_115_115_115_291 115_291_291_291_1486 1486_291_291_291_291 119_119_119_119_2 2_6_6_6_6 6_6_6_6_7 115_291_291_291_1486 1486_291_291_291_291 291_291_291_291_115 291_115_115_115_115 115_115_115_115_115 115_115_115_115_115 119_119_119_119_2 2_6_6_6_6 6_6_6_6_7 7_115_115_115_291 115_291_291_291_1486 2875_1681_1683_1683_3871 115_115_115_115_115 115_115_115_115_115 7_119_119_119_119 119_119_119_119_2 2_6_6_6_6 6_6_6_6_7 7_7_116_7_7 7_119_119_119_119 119_119_119_119_2 2_6_6_6_6 6_6_6_6_7 291_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_7 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_7 7_119_119_119_119 119_119_119_119_2 2_6_6_6_6 6_6_6_6_7 291_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_7 7_119_119_119_119 119_119_119_119_2 2_6_6_6_6 6_6_6_6_7 1735_4439_4439_4439_1735 115_115_115_115_115 115_115_115_115_7 7_119_119_119_119 119_119_119_119_2 2_6_6_6_6 6_6_6_6_7 115_291_291_291_1486 5687_6080_6080_6080_9145 2_6_6_6_6 6_6_6_6_7 2910_2341_2341_2341_2910 2341_2910_2910_2910_2341 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_7 7_119_119_119_119 119_119_119_119_2 2_6_6_6_6 6_6_6_6_7 2_6_6_6_6 6_6_6_6_7 5472_9630_9630_9630_9855 115_115_115_115_7 7_193_193_193_193 193_193_193_193_7 7_119_119_119_119 119_119_119_119_2 189_190_190_190_190 190_190_190_190_191,0
216,3137903,50826,3,1,189_190_190_190_190 190_190_190_190_191 191_192_192_192_192 192_192_192_192_2 5_4_4_4_2 2_6_6_6_6 6_6_6_6_7 291_291_291_291_115 291_115_115_115_115 115_115_115_115_115 115_115_115_115_115 291_291_291_291_115 291_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_7 7_119_119_119_119 119_119_119_119_2 4_5_5_5_5 5_5_5_5_2 4_3_3_3_3 3_3_3_3_4 2_6_6_6_6 6_6_6_6_7 9107_3980_3980_3980_9107 6446_6412_6412_6412_6446 1314_1124_1124_1124_1097 1097_1096_1096_1096_1097 1097_1096_1096_1096_1207 2215_7672_7672_7672_2215 291_291_291_291_115 291_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_7 7_119_119_119_119 119_119_119_119_2 2_6_6_6_6 6_6_6_6_7 115_115_115_115_115 115_115_115_115_115 115_115_115_115_7 7_119_119_119_119 119_119_119_119_2 2_5_5_5_5 5_5_5_5_2 2_5_5_5_5 2_3_3_3_3 3_3_3_3_2 2_5_5_5_5 5_5_5_5_2 2_3_3_3_3 3_3_3_3_2 189_190_190_190_190 190_190_190_190_191,0
217,3137904,50826,3,1,189_190_190_190_190 190_190_190_190_191 191_192_192_192_192 192_192_192_192_2 2_3_3_3_3 3_3_3_3_4 4_5_5_5_5 4_5_5_5_5 2_6_6_6_6 6_6_6_6_7 1124_1097_1097_1097_1096 1097_1096_1096_1096_1097 1096_1097_1097_1097_1096 1097_1096_1096_1096_1097 1097_1096_1096_1097_1096 1096_1097_1097_1097_1096 1096_1097_1097_1096_1097 1097_1096_1096_1097_1096 1124_1207_1096_1096_1097 1124_1097_1097_1097_1096 1097_1096_1096_1096_1097 1932_4503_4503_4503_5951 7_119_119_119_119 119_119_119_119_2 189_190_190_190_190 190_190_190_190_191 191_192_192_192_192 192_192_192_192_2 2_6_6_6_6 6_6_6_6_7 2072_2071_2071_2071_2299 7_119_119_119_119 119_119_119_119_2 189_190_190_190_190 190_190_190_190_191 191_192_192_192_192 192_192_192_192_2 2_6_6_6_6 189_190_190_190_190 190_190_190_190_191 191_192_192_192_192 192_192_192_192_2 115_115_115_115_115 115_115_115_115_7 7_119_119_119_119 119_119_119_119_2 189_190_190_190_190 190_190_190_190_191 191_192_192_192_192 192_192_192_192_2 2_6_6_6_6 6_6_6_6_7 3741_1116_1116_1116_1119 1096_1097_1096_1096_1097 1096_1097_1097_1097_1096 1207_1096_1096_1096_1097 1097_1096_1096_1096_1097 1099_1097_1097_1097_1099 1208_1096_1096_1096_1097 1096_1097_1097_1097_1208 1097_1096_1096_1096_1126 1096_1097_1097_1097_1208 1097_1096_1096_1096_1125 1096_1207_1207_1207_1096 1126_1097_1097_1097_1096 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_7 7_119_119_119_119 119_119_119_119_2 119_2_2_2_4 2_3_3_3_3 3_3_3_3_2 2_3_3_3_3 3_3_3_3_2 2_5_4_4_5 4_5_5_5_5 4_3_3_3_3 3_3_3_3_4 3_4_4_3_4 4_3_3_3_3 3_3_3_3_4 4_2_2_2_5 2_5_2_5_5 2_5_5_5_5 5_5_5_5_2,3
218,3137956,50670,3,1,189_190_190_190_190 190_190_190_190_191 191_192_192_192_192 192_192_192_192_2 2_5_5_2_5 2_5_5_5_5 5_5_5_5_2 2_3_3_3_3 3_3_3_3_4 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_7 7_118_118_118_118 118_118_118_118_7 1529_1530_1530_1530_1627 7_119_119_119_119 119_119_119_119_2 189_190_190_190_190 190_190_190_190_191 191_192_192_192_192 192_192_192_192_2 2_6_6_6_6 6_6_6_6_7 7_119_119_119_119 119_119_119_119_2 189_190_190_190_190 190_190_190_190_191 191_192_192_192_192 192_192_192_192_2 2_6_6_6_6 6_6_6_6_7 1486_291_291_291_291 291_291_291_291_115 291_115_115_115_115 115_115_115_115_115 115_115_115_115_7 4_3_3_3_4 189_190_190_190_190 190_190_190_190_191,0
219,3138060,52519,3,1,189_190_190_190_190 190_190_190_190_191 191_192_192_192_192 192_192_192_192_2 4_3_3_4_3 4_3_3_3_3 3_3_3_3_4 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 7_119_119_119_119 119_119_119_119_2 189_190_190_190_190 190_190_190_190_191 191_192_192_192_192 192_192_192_192_2 2_6_6_6_6 6_6_6_6_7 7_119_119_119_119 119_119_119_119_2 189_190_190_190_190 190_190_190_190_191 191_192_192_192_192 192_192_192_192_2 2_6_6_6_6 6_6_6_6_7 1124_1207_1207_1207_1124 1124_1207_1207_1207_1124 1207_1124_1124_1124_1207 1123_1124_1124_1124_1125 7_119_119_119_119 189_190_190_190_190 190_190_190_190_191,3
220,3138066,46874,10,1,189_190_190_190_190 190_190_190_190_191 191_192_192_192_192 192_192_192_192_2 4_5_5_5_4 4_5_5_5_5 4_5_5_5_5 4_3_3_3_4 4_3_3_3_3 3_3_3_3_4 4_3_3_3_3 3_3_3_3_4 4_3_3_3_3 3_3_3_3_4 2_6_6_6_6 6_6_6_6_7 7_115_115_115_291 9785_9785_9785_9785_8666 2299_2072_2072_2072_2092 2868_2071_2071_2071_2299 10617_5205_5205_5205_5471 7_119_119_119_119 119_119_119_119_2 189_190_190_190_190 190_190_190_190_191 191_192_192_192_192 192_192_192_192_2 2_6_6_6_6 6_6_6_6_7 1545_2767_1545_2767_1545 1545_2767_1545_2767_1545 1545_2767_1545_2767_1545 1545_2767_1545_2767_1545 1545_2767_2767_2767_1884 1545_2767_2767_2767_1545 1545_2767_1545_2767_1545 1545_2799_2799_2799_1893 1545_2767_2767_2767_1545 2767_2767_1545_2767_2767 2767_2767_1545_2767_2767 2767_1893_1893_1893_2767 2767_2767_1545_2767_2767 1545_2767_2767_2767_1545 2767_2767_1545_2767_2767 2767_2767_1545_2767_2767 2767_1545_1545_1545_2767 1545_2767_2767_2767_1545 1545_2767_2767_2767_1893 1545_2767_1545_2767_1545 2767_1545_1545_1545_1885 1893_2799_2799_2799_3086 2799_1545_1545_1545_2767 2767_2767_1545_2767_2767 2767_2767_1545_2767_2767 2767_2767_1545_2767_2767 1885_1884_1884_1884_1885 2477_2799_2799_2799_1893 2799_1893_1893_1893_2799 2767_1545_1545_1545_2767 1545_2767_1545_2767_1545 1893_2799_2799_2799_1893 1895_1885_1885_1885_1884 1885_1893_2799_2799_1893 1893_2799_2799_2799_2477 2799_2477_2477_2477_2794 2794_2477_2477_2477_2794 119_119_119_119_2 4_3_3_3_3 3_3_3_3_4 189_190_190_190_190 190_190_190_190_191,2
221,3138092,46829,3,1,189_190_190_190_190 190_190_190_190_191 191_192_192_192_192 192_192_192_192_2 2_3_3_3_3 3_3_3_3_2 4_5_5_5_4 5_4_5_5_4 5_4_4_5_2 2_6_6_6_6 6_6_6_6_7 7_115_115_115_12 114_116_116_7_7 7_119_119_119_119 119_119_119_119_2 189_190_190_190_190 190_190_190_190_191 191_192_192_192_192 192_192_192_192_2 2_6_6_6_6 6_6_6_6_7 1096_1097_1097_1097_1096 1097_1124_1124_1124_1207 1207_1124_1124_1124_1207 1207_1124_1207_1207_1124 1124_1207_1207_1124_1207 1096_1097_1097_1097_1096 1207_1124_1124_1207_1124 1097_1208_1208_1208_1096 1096_1207_1207_1207_1096 1096_1097_1097_1097_1096 1097_1096_1096_1097_1096 1096_1097_1097_1097_1096 1626_1627_1627_1627_1539 291_291_291_291_115 291_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_7 4_3_3_3_3 3_3_3_3_2 189_190_190_190_190 190_190_190_190_191,3
222,3138099,52521,10,1,189_190_190_190_190 190_190_190_190_191 191_192_192_192_192 192_192_192_192_2 4_5_5_5_4 4_5_5_5_5 4_3_3_3_3 3_3_3_3_4 2777_2176_2176_2176_2173 1893_2794_2794_2794_2477 7_119_119_119_119 119_119_119_119_2 189_190_190_190_190 190_190_190_190_191 191_192_192_192_192 192_192_192_192_2 2_6_6_6_6 6_6_6_6_7 2767_2767_1545_2767_2767 1545_2767_1545_2767_1545 1545_2767_1545_2767_1545 2767_1545_1545_1545_2767 1545_2767_2767_2767_1545 2767_2767_1545_2767_2767 2477_2799_2799_2799_2477 2767_1545_1545_1545_1885 2767_1884_1884_1885_1885 2767_2767_1545_2767_2767 2767_1545_1545_1545_2767 1545_2767_1545_2767_1545 1885_1884_1884_1884_1885 1885_1884_1885_1884_1885 1895_1894_1894_1894_1884 1894_1884_1884_1885_1884 1885_1884_1884_1884_1894 1895_1894_1894_1894_1884 1885_1884_1885_1884_1885 1885_1884_1884_1884_1885 1545_2767_1545_2767_1545 2767_1884_1884_1884_1885 1885_1884_1885_1884_1885 1885_1884_1885_1884_1885 1885_1884_1885_1884_1885 1885_1884_1885_1884_1885 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_7 7_119_119_119_119 119_119_119_119_2 4_3_3_3_3 3_3_3_3_4 189_190_190_190_190 190_190_190_190_191,2
223,3138105,41621,83,1,189_190_190_190_190 190_190_190_190_191 191_192_192_192_192 192_192_192_192_2 2_3_3_3_3 3_3_3_3_2 5_5_2_5_2 2_3_3_3_3 3_3_3_3_2 2_6_6_6_6 6_6_6_6_7 7_115_115_115_291 3043_3044_3044_3044_3045 7_119_119_119_119 119_119_119_119_2 189_190_190_190_190 190_190_190_190_191 191_192_192_192_192 192_192_192_192_2 2_6_6_6_6 6_6_6_6_7 7_119_119_119_119 119_119_119_119_2 2_5_5_5_5 5_5_5_5_2 2_3_3_3_3 3_3_3_3_2 2_3_3_3_3 3_3_3_3_2 189_190_190_190_190 190_190_190_190_191,3
224,3138136,48109,20,-2,2_5_5_5_5 4_3_3_3_3 3_3_3_3_4 4_3_3_3_3 3_3_3_3_4 4_3_3_3_3 3_3_3_3_2 2_3_3_3_3 3_3_3_3_2 4_3_3_3_3 3_3_3_3_4 2_5_5_5_5 5_5_5_5_2 2_5_5_5_5 5_5_5_5_2 5_2_2_5_4 2_3_3_3_3 3_3_3_3_2 2_6_6_6_6 6_6_6_6_7 7_118_118_118_118 118_118_118_118_7 7_116_7_116_7 7_116_7_7_116 7_116_7_116_7 7_119_119_119_119 119_119_119_119_2 2_6_6_6_6 6_6_6_6_7 7_119_119_119_119 119_119_119_119_2 2_3_3_3_3 3_3_3_3_2 2_3_3_3_3 3_3_3_3_2 2_5_5_5_5 5_5_5_5_2 2_5_5_5_5 4_3_3_3_3 7_115_115_115_8599 7_7_116_7_7 7_7_116_7_7 7_7_116_7_7 7_119_119_119_119 119_119_119_119_2 2_6_6_6_6 7_193_193_193_193 193_193_193_193_7 7_119_119_119_119 2_3_3_3_3 3_3_3_3_2 2_3_3_3_3 3_3_3_3_2 2_5_5_5_5 5_5_5_5_2 5_2_2_2_4 2_6_6_6_6 6_6_6_6_7 7_118_118_118_118 118_118_118_118_7 7_119_119_119_119 119_119_119_119_2 2_6_6_6_6 6_6_6_6_7 7_193_193_193_193 193_193_193_193_7 7_119_119_119_119 119_119_119_119_2 2_3_3_3_3 3_3_3_3_2 2_3_3_3_3 3_3_3_3_2 2_5_5_5_5 5_5_5_5_2 2_5_5_5_5 5_5_5_5_2 2_3_3_3_3 3_3_3_3_2 2_6_6_6_6 6_6_6_6_7 7_118_118_118_118 118_118_118_118_7 7_115_115_115_1039 7_119_119_119_119 119_119_119_119_2 2_6_6_6_6 6_6_6_6_7 118_118_118_118_7 7_119_119_119_119 119_119_119_119_2 3_2_2_2_4 4_3_3_3_3 3_3_3_3_2 2_5_5_5_5 5_5_5_5_2 2_5_5_5_5 4_2_2_2_4 4_2_2_2_3 2_3_3_3_3 3_3_3_3_2 4_3_3_3_3 3_3_3_3_2 189_190_190_190_190,2
225,3138138,52524,83,1,2_5_5_5_5 5_5_5_5_2 2_3_3_3_3 3_3_3_3_2 3_2_2_2_4 4_2_2_2_4 2_5_5_5_5 5_5_5_5_2 2_3_3_3_3 3_3_3_3_2 2_6_6_6_6 6_6_6_6_7 8195_10202_10202_10202_8195 1368_2190_2190_2190_1368 119_119_119_119_2 189_190_190_190_190 190_190_190_190_191 191_192_192_192_192 192_192_192_192_2 2_6_6_6_6 5722_3628_10734_10734_10734 6446_6412_6412_6412_6446 1968_1975_1975_1975_946 2006_15868_15868_15868_1990 2868_2092_2092_2092_2082 3184_5294_5294_5294_3186 5336_1736_1736_1736_2390 1736_2390_2390_2390_1739 291_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_115 115_115_115_115_7 7_119_119_119_119 119_119_119_119_2 2_5_5_5_5 5_5_5_5_2 2_5_5_5_5 5_5_5_5_2 2_5_5_5_5 5_5_5_5_2 189_190_190_190_190 190_190_190_190_191,0
226,3138270,46852,20,-2,2_5_5_5_5 5_5_5_5_2 2_3_3_3_3 3_3_3_3_2 2_6_6_6_6 6_6_6_6_7 7_118_118_118_118 118_118_118_118_7 7_115_115_115_291 2517_2518_2518_2518_2923 1094_723_723_723_731 723_3265_3265_3265_1094 3176_3182_3182_3182_3176 2476_8039_8039_8039_8671 7_193_193_193_193 193_193_193_193_7 7_119_119_119_119 119_119_119_119_2 4_5_5_5_5 5_5_5_5_2 189_190_190_190_190 190_190_190_190_191,2
227,3138398,56593,23,4,2_5_5_5_5 5_5_5_5_2 5_5_2_5_2 2_3_3_3_3 3_3_3_3_4 4_5_5_5_5 4_3_4_4_3 4_3_3_3_3 3_3_3_3_4 4_5_5_5_5 2_6_6_6_6 6_6_6_6_7 1897_3279_3279_3279_1897 1897_3279_3279_1897_3279 1897_3279_3279_1897_3279 1897_3279_3279_3279_1897 3279_1897_1897_1897_3279 1897_2198_2198_2198_4487 4487_2198_2198_2198_4487 4487_2198_2198_2198_4487 4487_2198_2198_2198_4487 4487_2198_2198_2198_4487 4487_2198_2198_2198_4487 4487_2198_2198_2198_4487 2198_4487_4487_4487_2198 2198_4487_4487_4487_4488 2198_4487_4487_4487_2198 4487_2198_2198_2198_4487 4487_2198_2198_2198_4487 4487_2198_2198_2198_4487 2198_4487_4487_4487_2198 2198_4487_4487_4487_2198 4487_2198_2198_2198_4487 2198_4487_4487_4487_2198 4487_2198_2198_2198_4487 2198_4487_4487_4487_2198 2198_4487_4487_4487_2198 4487_2198_2198_2198_4487 2198_4487_4487_4487_2198 4487_2198_2198_2198_4487 4487_2198_2198_2198_4487 2198_4487_4487_4487_2198 2198_4487_4487_4487_2198 4493_1879_1879_1879_4494 4493_4488_4488_4488_4493 1879_4493_4493_4493_4488 4493_4488_4488_4488_4487 4_5_5_5_4 5_4_4_4_5 4_5_5_5_5 4_5_5_5_4 4_3_3_3_3 3_3_3_3_4 4_5_5_5_5 5_5_5_5_2 2_5_5_5_5 5_5_5_5_2 2_5_5_5_5 5_5_5_5_2 189_190_190_190_190 190_190_190_190_191,2
